Genero,PersonaMayor,Socio,Dependientes,Permanencia,ServicioTelefonico,VariasLineas,ServicioInternet,SeguridadLinea,ProteccionDispositivo,ServicioTecnico,ServicioTV,ServicioPeliculas,Contrato,FacturacionElectronica,MetodoPago,RecargoMensual,TotalRecargo,Abandono
0,0,1,0,33,1,-0.680622109,-0.716734521,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,15,1,-1.200638327,-1.644512254,0,0,1,1,0,0,1,0,0,1,0
1,1,1,1,66,1,-1.020474263,-1.364197004,0,0,0,1,1,0,1,0,1,1,0
1,1,1,1,17,1,-1.044207545,-0.458357668,0,1,0,1,1,0,1,1,1,0,1
1,0,1,0,43,1,-1.72426469,0.94993292,1,1,0,1,1,1,0,1,0,0,0
1,0,1,0,14,0,1.730393565,-0.559701528,0,0,0,1,0,1,1,0,0,0,1
1,1,1,1,62,1,0.275720369,-0.536094425,1,1,0,1,0,0,1,1,1,0,1
0,0,0,0,27,0,-1.803356281,0.429813795,0,0,0,0,1,0,1,1,1,0,1
1,1,0,1,57,1,0.620542182,0.402193319,1,1,1,1,0,0,1,1,0,0,0
0,0,1,0,65,1,0.606633521,-0.182644531,1,0,1,0,0,0,0,0,1,0,1
0,1,1,0,61,0,-1.822378347,-1.159211388,1,0,0,1,0,0,1,0,1,0,0
1,1,1,1,1,0,0.201884836,1.332163133,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,65,1,0.764794591,0.518118608,0,0,0,1,0,1,1,0,1,1,1
0,1,0,1,19,0,-0.086391456,1.338381042,1,1,1,0,0,1,1,0,1,1,0
1,1,1,1,26,1,-1.88196901,-0.900688647,0,0,0,0,1,1,1,1,0,0,0
0,1,0,1,32,0,-0.336938796,1.138506178,1,0,0,1,0,0,0,1,0,0,1
1,0,0,1,44,0,-0.25471658,-1.35301685,0,0,0,0,1,0,1,1,0,0,0
1,1,1,1,6,0,0.0761313,-1.773358026,0,0,1,1,0,1,1,1,1,1,0
0,1,1,0,47,0,-0.713835161,-0.575014482,0,0,0,0,0,0,1,1,1,1,1
0,1,0,1,44,0,1.475950177,0.530212919,1,0,1,1,0,0,1,0,1,0,0
0,0,1,1,4,1,-0.972169684,0.492275431,1,1,1,0,1,0,1,1,0,1,1
0,0,0,0,21,0,-1.924222872,0.800855881,1,0,0,0,1,0,0,1,0,1,0
