id;program;age2;gender;socioeconomic_level;employed;semester;login_frequency;forum_participation;task_submissions;late_submissions;connection_time;resource_views;final_grade;dropout
613251039;ASS;1;F;2;SI;1;250;532;22;0;2733;1499;47;NO
613251012;ASS;1;M;2;NO;4;371;402;36;0;2413;1794;42;NO
613251003;ASS;1;F;1;SI;3;259;324;22;0;1739;903;41;NO
613251036;ASS;1;F;1;NO;1;401;675;22;0;1845;1808;44;NO
613251027;ASS;1;F;3;NO;4;242;273;20;0;1213;835;43;NO
613251014;ASS;1;F;2;SI;3;258;246;8;1;945;767;45;NO
613251050;ASS;0;F;1;SI;4;98;241;28;0;1237;817;41;NO
613251045;ASS;1;F;2;SI;2;78;310;26;0;1320;765;41;NO
613251001;ASS;1;F;3;NO;4;269;382;22;0;1725;1374;42;NO
613251009;ASS;1;F;2;SI;3;157;411;22;0;2236;1170;44;NO
613251053;ASS;1;F;2;NO;2;200;398;24;0;1843;1388;41;NO
613251037;ASS;1;F;1;NO;4;533;485;24;0;4611;2762;5;NO
613251026;ASS;1;M;3;NO;4;181;242;22;0;1235;963;42;NO
613251016;ASS;1;M;3;SI;2;45;50;9;2;1202;749;21;SI
613251030;ASS;1;M;2;NO;3;269;601;26;0;2738;1691;44;NO
613251046;ASS;1;M;2;NO;3;204;269;18;1;1157;757;23;SI
613251029;ASS;1;F;2;NO;4;176;403;22;0;1432;1119;42;NO
613251047;ASS;0;F;2;NO;4;258;374;24;0;2221;1152;41;NO
613251006;ASS;1;F;2;NO;2;286;400;20;0;1647;1254;44;NO
613251023;ASS;1;F;2;NO;4;188;406;26;0;1726;1088;41;NO
613251048;ASS;1;F;1;NO;1;313;483;24;0;1606;1369;45;NO
613251041;ASS;1;F;2;NO;2;250;406;22;0;1754;1447;46;NO
613251010;ASS;1;F;2;NO;1;375;539;34;0;3058;1717;48;NO
613251019;ASS;1;F;2;NO;3;181;418;24;0;4610;1320;5;NO
613251005;ASS;0;F;1;NO;4;206;260;24;0;1154;832;41;NO
613251020;ASS;1;F;3;NO;4;172;260;22;0;1224;966;41;NO
613251049;ASS;1;F;2;NO;2;298;495;26;0;2129;1421;44;NO
613251022;ASS;1;F;2;SI;2;137;343;24;0;1117;896;37;NO
613251035;ASS;1;F;1;NO;4;189;322;24;0;1335;917;39;NO
613251043;ASS;1;F;2;SI;2;79;228;28;0;845;770;41;NO
613251044;ASS;1;F;1;NO;4;289;506;30;0;1840;1468;44;NO
613251040;ASS;1;F;1;NO;2;288;522;22;0;2130;1310;44;NO
613251002;ASS;1;F;1;NO;4;501;600;26;0;3714;2094;5;NO
613251042;ASS;1;F;2;SI;4;31;35;8;2;1054;684;21;SI
613251051;ASS;1;F;1;NO;2;460;607;24;0;3646;2254;5;NO
613251018;ASS;1;F;2;NO;4;182;394;24;0;1918;1210;46;NO
613251033;ASS;1;F;2;SI;1;138;273;18;1;1851;879;35;NO
613251038;ASS;1;F;1;SI;4;168;444;20;0;1817;1239;43;NO
613251038;ASS;1;F;4;NO;4;237;511;22;0;2422;1512;46;NO
613251017;ASS;1;F;1;NO;3;436;414;30;0;2945;2005;48;NO
613251031;ASS;1;F;1;NO;1;223;320;30;0;1556;1246;45;NO
613251024;ASS;1;M;2;SI;2;138;267;24;1;1245;835;37;NO
613251008;ASS;1;M;2;SI;2;345;375;7;1;4616;1091;5;NO
613251025;ASS;1;F;3;NO;3;203;564;20;0;2225;1464;44;NO
613251004;ASS;1;F;3;NO;3;235;329;26;0;1635;962;39;NO
613251013;ASS;1;M;3;NO;2;198;257;22;0;1453;776;37;NO
613251021;ASS;1;F;2;SI;2;263;446;26;0;2225;1340;44;NO
613251032;ASS;1;F;1;SI;3;144;310;22;0;1714;955;38;NO
613252011;ASS;1;M;4;NO;2;187;202;10;0;4605;1235;46;NO
613252024;ASS;1;F;1;NO;2;235;261;12;0;3510;1559;45;NO
613252009;ASS;1;F;2;NO;1;226;253;11;0;3420;1529;45;NO
613252003;ASS;1;M;3;SI;2;187;202;10;0;4605;1235;45;NO
613252028;ASS;1;F;1;SI;2;212;242;11;1;3240;1479;45;NO
613252044;ASS;1;M;1;SI;1;187;202;10;0;4605;1235;47;NO
613252010;ASS;1;F;3;NO;1;246;291;12;0;3750;1678;45;NO
