id,program,age,gender,socioecoNomic_level,employed,semester,login_frequency,forum_participation,task_submisSions,late_submisSions,connection_time,resource_views,final_grade,dropout
613251039,ASS,1,F,2,Si,1,250,532,22,0, 27.33 , 1.499 ,4.7,No
613251012,ASS,1,M,2,No,4,371,402,36,0, 24.13 , 1.794 ,4.2,No
613251003,ASS,1,F,1,Si,3,259,324,22,0, 17.39 , 903 ,4.1,No
613251036,ASS,1,F,1,No,1,401,675,22,0, 18.45 , 1.808 ,4.4,No
613251027,ASS,1,F,3,No,4,242,273,20,0, 12.13 , 835 ,4.3,No
613251014,ASS,1,F,2,Si,3,258,246,8,1, 9.45 , 767 ,4.5,No
613251050,ASS,0,F,1,Si,4,98,241,28,0, 12.37 , 817 ,4.1,No
613251045,ASS,1,F,2,Si,2,78,310,26,0, 13.20 , 765 ,4.1,No
613251001,ASS,1,F,3,No,4,269,382,22,0, 17.25 , 1.374 ,4.2,No
613251009,ASS,1,F,2,Si,3,157,411,22,0, 22.36 , 1.170 ,4.4,No
613251053,ASS,1,F,2,No,2,200,398,24,0, 18.43 , 1.388 ,4.1,No
613251037,ASS,1,F,1,No,4,533,485,24,0, 46.11 , 2.762 ,5,No
613251026,ASS,1,M,3,No,4,181,242,22,0, 12.35 , 963 ,4.2,No
613251016,ASS,1,M,3,Si,2,45,50,9,2, 12.02 , 749 ,2.1,Si
613251030,ASS,1,M,2,No,3,269,601,26,0, 27.38 , 1.691 ,4.4,No
613251046,ASS,1,M,2,No,3,204,269,18,1, 11.57 , 757 ,2.3,Si
613251029,ASS,1,F,2,No,4,176,403,22,0, 14.32 , 1.119 ,4.2,No
613251047,ASS,1,F,2,No,4,258,374,24,0, 22.21 , 1.152 ,4.1,No
613251006,ASS,1,F,2,No,2,286,400,20,0, 16.47 , 1.254 ,4.4,No
613251023,ASS,1,F,2,No,4,188,406,26,0, 17.26 , 1.088 ,4.1,No
613251048,ASS,1,F,1,No,1,313,483,24,0, 16.06 , 1.369 ,4.5,No
613251041,ASS,1,F,2,No,2,250,406,22,0, 17.54 , 1.447 ,4.6,No
613251010,ASS,1,F,2,No,1,375,539,34,0, 30.58 , 1.717 ,4.8,No
613251019,ASS,1,F,2,No,3,181,418,24,0, 46.10 , 1.320 ,5,No
613251005,ASS,0,F,1,No,4,206,260,24,0, 11.54 , 832 ,4.1,No
613251020,ASS,1,F,3,No,4,172,260,22,0, 12.24 , 966 ,4.1,No
613251049,ASS,1,F,2,No,2,298,495,26,0, 21.29 , 1.421 ,4.4,No
613251022,ASS,1,F,2,Si,2,137,343,24,0, 11.17 , 896 ,3.7,No
613251035,ASS,1,F,1,No,4,189,322,24,0, 13.35 , 917 ,3.9,No
613251043,ASS,1,F,2,Si,2,79,228,28,0, 8.45 , 770 ,4.1,No
613251044,ASS,1,F,1,No,4,289,506,30,0, 18.40 , 1.468 ,4.4,No
613251040,ASS,1,F,1,No,2,288,522,22,0, 21.30 , 1.310 ,4.4,No
613251002,ASS,1,F,1,No,4,501,600,26,0, 37.14 , 2.094 ,5,No
613251042,ASS,1,F,2,Si,4,31,35,8,2, 10.54 , 684 ,2.1,Si
613251051,ASS,1,F,1,No,2,460,607,24,0, 36.46 , 2.254 ,5,No
613251018,ASS,1,F,2,No,4,182,394,24,0, 19.18 , 1.210 ,4.6,No
613251033,ASS,1,F,2,Si,1,138,273,18,1, 18.51 , 879 ,3.5,No
613251038,ASS,1,F,1,Si,4,168,444,20,0, 18.17 , 1.239 ,4.3,No
613251038,ASS,1,F,4,No,4,237,511,22,0, 24.22 , 1.512 ,4.6,No
613251017,ASS,1,F,1,No,3,436,414,30,0, 29.45 , 2.005 ,4.8,No
613251031,ASS,1,F,1,No,1,223,320,30,0, 15.56 , 1.246 ,4.5,No
613251024,ASS,1,M,2,Si,2,138,267,24,1, 12.45 , 835 ,3.7,No
613251008,ASS,1,M,2,Si,2,345,375,7,1, 46.16 , 1.091 ,5,No
613251025,ASS,1,F,3,No,3,203,564,20,0, 22.25 , 1.464 ,4.4,No
613251004,ASS,1,F,3,No,3,235,329,26,0, 16.35 , 962 ,3.9,No
613251013,ASS,1,M,3,No,2,198,257,22,0, 14.53 , 776 ,3.7,No
