Genero,PersonaMayor,Socio,Dependientes,Permanencia,ServicioTelefonico,VariasLineas,ServicioInternet,SeguridadLinea,CopiaSeguridadLinea,ProteccionDispositivo,ServicioTecnico,ServicioTV,ServicioPeliculas,Contrato,FacturacionElectronica,MetodoPago,RecargoMensual,TotalRecargo,Abandono
Femenino,0,Si,No,1,No,Sin Servicio Telefónico,DSL,No,Si,No,No,No,No,Mensual,Si,Cheque Electrónico,29.85,29.85,No
Masculino,0,No,No,34,Si,No,DSL,Si,No,Si,No,No,No,un anio,No,Cheque por Correo,56.95,1889.5,No
Masculino,0,No,No,2,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,Cheque por Correo,53.85,108.15,Si
Masculino,0,No,No,45,No,Sin Servicio Telefónico,DSL,Si,No,Si,Si,No,No,un anio,No,Transferencia bancaria (automática),42.3,1840.75,No
Femenino,0,No,No,2,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,70.7,151.65,Si
Femenino,0,No,No,8,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque Electrónico,99.65,820.5,Si
Masculino,0,No,Si,22,Si,Si,Fibra Óptica,No,Si,No,No,Si,No,Mensual,Si,Tarjeta de crédito (automática),89.1,1949.4,No
Femenino,0,No,No,10,No,Sin Servicio Telefónico,DSL,Si,No,No,No,No,No,Mensual,No,Cheque por Correo,29.75,301.9,No
Femenino,0,Si,No,28,Si,Si,Fibra Óptica,No,No,Si,Si,Si,Si,Mensual,Si,Cheque Electrónico,104.8,3046.05,Si
Masculino,0,No,Si,62,Si,No,DSL,Si,Si,No,No,No,No,un anio,No,Transferencia bancaria (automática),56.15,3487.95,No
Masculino,0,Si,Si,13,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque por Correo,49.95,587.45,No
Masculino,0,No,No,16,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),18.95,326.8,No
Masculino,0,Si,No,58,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,un anio,No,Tarjeta de crédito (automática),100.35,5681.1,No
Masculino,0,No,No,49,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,Mensual,Si,Transferencia bancaria (automática),103.7,5036.3,Si
Masculino,0,No,No,25,Si,No,Fibra Óptica,Si,No,Si,Si,Si,Si,Mensual,Si,Cheque Electrónico,105.5,2686.05,No
Femenino,0,Si,Si,69,Si,Si,Fibra Óptica,Si,Si,Si,Si,Si,Si,dos anios,No,Tarjeta de crédito (automática),113.25,7895.15,No
Femenino,0,No,No,52,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Cheque por Correo,20.65,1022.95,No
Masculino,0,No,Si,71,Si,Si,Fibra Óptica,Si,No,Si,No,Si,Si,dos anios,No,Transferencia bancaria (automática),106.7,7382.25,No
Femenino,0,Si,Si,10,Si,No,DSL,No,No,Si,Si,No,No,Mensual,No,Tarjeta de crédito (automática),55.2,528.35,Si
Femenino,0,No,No,21,Si,No,Fibra Óptica,No,Si,Si,No,No,Si,Mensual,Si,Cheque Electrónico,90.05,1862.9,No
Masculino,1,No,No,1,No,Sin Servicio Telefónico,DSL,No,No,Si,No,No,Si,Mensual,Si,Cheque Electrónico,39.65,39.65,Si
Masculino,0,Si,No,12,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Transferencia bancaria (automática),19.8,202.25,No
Masculino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Cheque por Correo,20.15,20.15,Si
Femenino,0,Si,No,58,Si,Si,DSL,No,Si,No,Si,No,No,dos anios,Si,Tarjeta de crédito (automática),59.9,3505.1,No
Masculino,0,Si,Si,49,Si,No,DSL,Si,Si,No,Si,No,No,Mensual,No,Tarjeta de crédito (automática),59.6,2970.3,No
Femenino,0,No,No,30,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),55.3,1530.6,No
Masculino,0,Si,Si,47,Si,Si,Fibra Óptica,No,Si,No,No,Si,Si,Mensual,Si,Cheque Electrónico,99.35,4749.15,Si
Masculino,0,Si,Si,1,No,Sin Servicio Telefónico,DSL,No,Si,No,No,No,No,Mensual,No,Cheque Electrónico,30.2,30.2,Si
Masculino,0,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos anios,Si,Tarjeta de crédito (automática),90.25,6369.45,No
Femenino,0,No,Si,17,Si,No,DSL,No,No,No,No,Si,Si,Mensual,Si,Cheque por Correo,64.7,1093.1,Si
Femenino,1,Si,No,71,Si,Si,Fibra Óptica,Si,Si,Si,Si,No,No,dos anios,Si,Tarjeta de crédito (automática),96.35,6766.95,No
Masculino,1,Si,No,2,Si,No,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Tarjeta de crédito (automática),95.5,181.65,No
Femenino,0,Si,Si,27,Si,No,DSL,Si,Si,Si,Si,No,No,un anio,No,Cheque por Correo,66.15,1874.45,No
Masculino,0,No,No,1,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Mensual,No,Transferencia bancaria (automática),20.2,20.2,No
Masculino,1,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),45.25,45.25,No
Femenino,0,Si,Si,72,Si,Si,Fibra Óptica,Si,Si,No,Si,Si,No,dos anios,No,Transferencia bancaria (automática),99.9,7251.7,No
Masculino,0,No,No,5,Si,No,Fibra Óptica,No,No,No,No,No,No,Mensual,Si,Cheque Electrónico,69.7,316.9,Si
Femenino,0,No,No,46,Si,No,Fibra Óptica,No,No,Si,No,No,No,Mensual,Si,Tarjeta de crédito (automática),74.8,3548.3,No
Masculino,0,No,No,34,Si,Si,Fibra Óptica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque Electrónico,106.35,3549.25,Si
Femenino,0,No,No,11,Si,Si,Fibra Óptica,No,No,Si,No,Si,Si,Mensual,Si,Transferencia bancaria (automática),97.85,1105.4,Si
Masculino,0,Si,Si,10,Si,No,DSL,No,Si,No,No,No,No,un anio,No,Cheque por Correo,49.55,475.7,No
Femenino,0,Si,Si,70,Si,Si,DSL,Si,Si,No,No,Si,No,dos anios,Si,Tarjeta de crédito (automática),69.2,4872.35,No
Femenino,0,Si,Si,17,Si,No,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,un anio,No,Cheque por Correo,20.75,418.25,No
Femenino,0,No,No,63,Si,Si,DSL,Si,Si,Si,Si,Si,No,dos anios,Si,Tarjeta de crédito (automática),79.85,4861.45,No
Femenino,0,Si,No,13,Si,Si,DSL,Si,Si,No,Si,Si,No,Mensual,Si,Cheque Electrónico,76.2,981.45,No
Femenino,0,No,No,49,Si,Si,Fibra Óptica,No,No,No,No,No,Si,Mensual,Si,Cheque Electrónico,84.5,3906.7,No
Masculino,0,No,No,2,Si,No,DSL,No,Si,No,No,No,No,Mensual,No,Cheque por Correo,49.25,97.0,No
Femenino,0,No,No,2,Si,No,Fibra Óptica,No,No,No,No,Si,No,Mensual,Si,Cheque Electrónico,80.65,144.15,Si
Masculino,0,No,No,52,Si,Si,DSL,Si,No,No,Si,Si,Si,dos anios,Si,Tarjeta de crédito (automática),79.75,4217.8,No
Femenino,0,Si,Si,69,Si,Si,DSL,Si,No,Si,Si,No,No,dos anios,Si,Tarjeta de crédito (automática),64.15,4254.1,No
Femenino,1,No,No,43,Si,Si,Fibra Óptica,No,Si,No,No,Si,No,Mensual,Si,Cheque Electrónico,90.25,3838.75,No
Femenino,0,No,No,15,Si,No,Fibra Óptica,Si,Si,No,No,Si,Si,Mensual,Si,Tarjeta de crédito (automática),99.1,1426.4,Si
Femenino,1,Si,No,25,Si,Si,DSL,Si,No,No,Si,Si,No,Mensual,Si,Tarjeta de crédito (automática),69.5,1752.65,No
Femenino,1,Si,No,8,Si,Si,Fibra Óptica,No,Si,No,No,No,No,Mensual,Si,Tarjeta de crédito (automática),80.65,633.3,Si
Femenino,1,Si,Si,60,Si,No,DSL,Si,Si,Si,Si,No,Si,un anio,Si,Tarjeta de crédito (automática),74.85,4456.35,No
Masculino,1,No,No,18,Si,Si,Fibra Óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque Electrónico,95.45,1752.55,Si
Femenino,0,Si,Si,63,Si,Si,Fibra Óptica,Si,No,No,No,Si,Si,un anio,Si,Tarjeta de crédito (automática),99.65,6311.2,No
Masculino,1,Si,Si,66,Si,Si,Fibra Óptica,No,Si,Si,Si,Si,Si,un anio,Si,Cheque Electrónico,108.45,7076.35,No
Femenino,0,Si,Si,34,Si,Si,No,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,Sin Servicio de Internet,dos anios,No,Tarjeta de crédito (automática),24.95,894.3,No
Femenino,0,No,No,72,Si,Si,Fibra Óptica,No,No,Si,Si,Si,Si,dos anios,Si,Tarjeta de crédito (automática),107.5,7853.7,No
