state,city,lat,lon,population,area
Durango,Durango,24.0277,-104.6532,654876,123317
Michoacán,Morelia,19.703,-101.194,849053,58599
México,Toluca,19.2826,-99.6557,910608,22351
Veracruz,Veracruz,19.1738,-96.1342,552156,71823
Nayarit,Tepic,21.5095,-104.8957,413608,27856
Durango,Durango,24.0277,-104.6532,654876,123317
Baja California,Mexicali,32.6245,-115.4523,1042155,71450
Veracruz,Veracruz,19.1738,-96.1342,552156,71823
Colima,Colima,19.2433,-103.725,146904,5627
Baja California,Mexicali,32.6245,-115.4523,1042155,71450
Quintana Roo,Cancún,21.1619,-86.8515,888797,44205
Nuevo León,Monterrey,25.6866,-100.3161,1135512,64156
Tamaulipas,Reynosa,26.0924,-98.2773,704767,80249
Nuevo León,Monterrey,25.6866,-100.3161,1135512,64156
Aguascalientes,Aguascalientes,21.8823,-102.2826,934424,5618
Yucatán,Mérida,20.9674,-89.5926,892363,39524
Baja California,Mexicali,32.6245,-115.4523,1042155,71450
Sinaloa,Culiacán,24.8046,-107.4938,905265,57365
Morelos,Cuernavaca,18.9242,-99.2216,366321,4893
Yucatán,Mérida,20.9674,-89.5926,892363,39524
Coahuila,Saltillo,25.4389,-100.995,807537,151571
Tamaulipas,Reynosa,26.0924,-98.2773,704767,80249
Oaxaca,Oaxaca,17.0732,-96.7266,300050,93757
Puebla,Puebla,19.0414,-98.2063,1531121,34306
Campeche,Campeche,19.8458,-90.5238,220389,57708
Aguascalientes,Aguascalientes,21.8823,-102.2826,934424,5618
Puebla,Puebla,19.0414,-98.2063,1531121,34306
Nayarit,Tepic,21.5095,-104.8957,413608,27856
Coahuila,Saltillo,25.4389,-100.995,807537,151571
Guerrero,Acapulco,16.8531,-99.8237,673479,64755
Nayarit,Tepic,21.5095,-104.8957,413608,27856
Morelos,Cuernavaca,18.9242,-99.2216,366321,4893
Tamaulipas,Reynosa,26.0924,-98.2773,704767,80249
Jalisco,Guadalajara,20.6597,-103.3496,1460148,78595
Yucatán,Mérida,20.9674,-89.5926,892363,39524
